Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    JPN,     .,    .,     ., 1947, 1947, 14,   -99,   ACY,       1,0.00004,0.00000,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1947, 1947, 15,     1,   ACY,       1,0.00035,0.00004,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1947, 1947, 16,     1,   ACY,       1,0.00182,0.00039,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 17,     1,   ACY,       1,0.00757,0.00221,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 18,     1,   ACY,       1,0.02080,0.00978,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 19,     1,   ACY,       1,0.04724,0.03058,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 20,     1,   ACY,       1,0.08601,0.07782,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 21,     1,   ACY,       1,0.12821,0.16383,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 22,     1,   ACY,       1,0.17083,0.29204,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 23,     1,   ACY,       1,0.21013,0.46287,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 24,     1,   ACY,       1,0.24190,0.67300,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 25,     1,   ACY,       1,0.26312,0.91490,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 26,     1,   ACY,       1,0.27230,1.17802,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 27,     1,   ACY,       1,0.26530,1.45032,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 28,     1,   ACY,       1,0.26128,1.71562,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 29,     1,   ACY,       1,0.26257,1.97690,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 30,     1,   ACY,       1,0.26134,2.23947,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 31,     1,   ACY,       1,0.24792,2.50081,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 32,     1,   ACY,       1,0.23584,2.74873,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 33,     1,   ACY,       1,0.22030,2.98457,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 34,     1,   ACY,       1,0.20635,3.20487,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 35,     1,   ACY,       1,0.19077,3.41122,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 36,     1,   ACY,       1,0.17343,3.60199,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 37,     1,   ACY,       1,0.15348,3.77542,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 38,     1,   ACY,       1,0.13678,3.92890,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 39,     1,   ACY,       1,0.11694,4.06568,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 40,     1,   ACY,       1,0.09357,4.18262,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 41,     1,   ACY,       1,0.07147,4.27619,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1947, 1947, 42,     1,   ACY,       1,0.05257,4.34766,       ODE,  estimate,    JPN_01,   .,    0
