Year     Age      Female         Male        Total
1947     0     905045.93    952327.66   1857373.59
1947     1     781592.76    806736.81   1588329.57
1947     2     965274.92    992481.19   1957756.11
1947     3     985911.69   1009783.44   1995695.13
1947     4     959472.28    987359.57   1946831.85
1947     5     993712.56   1020080.00   2013792.56
1947     6     910672.19    936189.78   1846861.97
1947     7     805488.34    822395.49   1627883.83
1947     8     799391.53    821039.13   1620430.66
1947     9     912051.96    930175.97   1842227.93
1947    10     867881.03    888366.32   1756247.35
1947    11     900052.73    921015.81   1821068.54
1947    12     836418.82    846986.11   1683404.93
1947    13     853971.30    869900.97   1723872.27
1947    14     871651.38    887035.72   1758687.10
1947    15     834514.05    840070.70   1674584.75
1947    16     814076.17    824007.35   1638083.52
1947    17     799967.38    790486.22   1590453.60
1947    18     803838.42    793483.53   1597321.95
1947    19     768167.39    755480.63   1523648.02
1947    20     775755.22    760551.95   1536307.17
1947    21     750584.38    699227.90   1449812.28
1947    22     702203.54    637789.96   1339993.50
1947    23     700265.19    572345.24   1272610.43
1947    24     657766.94    513868.34   1171635.28
1947    25     652458.08    500049.75   1152507.83
1947    26     654936.69    512979.66   1167916.35
1947    27     567247.72    464626.23   1031873.95
1947    28     548184.07    455795.07   1003979.14
1947    29     562804.32    472412.04   1035216.36
1947    30     560894.08    479214.50   1040108.58
1947    31     552598.52    481939.25   1034537.77
1947    32     564126.77    497752.75   1061879.52
1947    33     541670.23    484658.85   1026329.08
1947    34     545734.20    482888.33   1028622.53
1947    35     527669.65    474951.01   1002620.66
1947    36     503889.30    468796.79    972686.09
1947    37     504363.55    467726.19    972089.74
1947    38     479573.32    459700.00    939273.32
1947    39     477449.42    453431.32    930880.74
1947    40     375816.34    404209.21    780025.55
1947    41     430667.52    417451.61    848119.13
1947    42     393017.43    402978.99    795996.42
1947    43     412659.06    421611.92    834270.98
1947    44     418208.22    428689.24    846897.46
1947    45     398065.46    414961.37    813026.83
1947    46     378580.11    385976.13    764556.24
1947    47     350252.39    370317.05    720569.44
1947    48     353821.00    368454.80    722275.80
1947    49     340253.60    353801.64    694055.24
1947    50     320567.16    333725.10    654292.26
1947    51     317208.11    326888.64    644096.75
1947    52     301259.47    314240.31    615499.78
1947    53     282023.33    292224.54    574247.87
1947    54     292936.83    297713.78    590650.61
1947    55     253800.94    256800.15    510601.09
1947    56     274264.82    270748.11    545012.93
1947    57     285745.83    276713.99    562459.82
1947    58     261458.54    259362.04    520820.58
1947    59     240249.07    227560.71    467809.78
1947    60     239246.44    222577.39    461823.83
1947    61     227499.45    205515.66    433015.11
1947    62     222235.67    196910.65    419146.32
1947    63     224229.61    190899.72    415129.33
1947    64     216928.93    183027.90    399956.83
1947    65     206870.52    174894.57    381765.09
1947    66     194715.98    161042.76    355758.74
1947    67     188840.13    152201.91    341042.04
1947    68     180527.11    143207.69    323734.80
1947    69     172166.30    130988.48    303154.78
1947    70     165178.85    124653.72    289832.57
1947    71     140750.74    104307.64    245058.38
1947    72     130324.23     93236.03    223560.26
1947    73     120873.97     84760.81    205634.78
1947    74      99652.36     67726.77    167379.13
1947    75      80633.03     54861.83    135494.86
1947    76      71188.74     45890.65    117079.39
1947    77      66597.86     40626.62    107224.48
1947    78      67015.33     39966.96    106982.29
1947    79      47885.15     28070.34     75955.49
1947    80      41752.52     23629.18     65381.70
1947    81      39650.61     21085.54     60736.15
1947    82      30555.80     16007.36     46563.16
1947    83      21560.24     11040.97     32601.21
1947    84      15826.51      7570.32     23396.83
1947    85      11862.35      5620.32     17482.67
1947    86      10328.03      4871.03     15199.06
1947    87       7883.23      3464.23     11347.46
1947    88       6048.58      2773.84      8822.42
1947    89       4509.03      1913.31      6422.34
1947    90       3227.51      1308.94      4536.45
1947    91       2179.03       842.61      3021.64
1947    92       1545.78       568.42      2114.20
1947    93        935.49       367.26      1302.75
1947    94        622.33       254.22       876.55
1947    95        336.18       138.11       474.29
1947    96        229.12        92.07       321.19
1947    97        153.09        65.04       218.13
1947    98         88.05        50.04       138.09
1947    99         32.01        24.02        56.03
1947   100         26.01        12.01        38.02
1947   101         14.00         3.00        17.00
1947   102          8.00         7.00        15.00
1947   103          8.00         0.00         8.00
1947   104          3.00         2.00         5.00
1947   105          3.00         3.00         6.00
1947   106          2.00         2.00         4.00
1947   107          0.00         1.00         1.00
1947   108          2.00         0.00         2.00
1947   109          1.00         1.00         2.00
1947   110+        11.00         6.00        17.00
1948     0    1230742.81   1286415.61   2517158.42
1948     1     859308.02    900457.26   1759765.28
1948     2     762779.11    786758.40   1549537.51
1948     3     952227.68    979106.85   1931334.53
1948     4     977114.44   1000693.33   1977807.77
1948     5     953881.03    981310.18   1935191.21
1948     6     989671.77   1015587.50   2005259.27
1948     7     907703.40    932842.69   1840546.09
1948     8     803443.43    819988.55   1623431.98
1948     9     797708.95    819121.79   1616830.74
1948    10     910312.32    928235.59   1838547.91
1948    11     866376.62    886725.32   1753101.94
1948    12     898484.26    919460.91   1817945.17
1948    13     834858.35    845495.28   1680353.63
1948    14     852118.56    868212.90   1720331.46
1948    15     869263.14    884975.20   1754238.34
1948    16     831654.37    837555.62   1669209.99
1948    17     810755.05    820946.61   1631701.66
1948    18     795992.65    786645.53   1582638.18
1948    19     799269.13    788607.57   1587876.70
1948    20     762777.33    749790.67   1512568.00
1948    21     770354.16    754598.68   1524952.84
1948    22     744967.11    693200.53   1438167.64
1948    23     696810.48    632087.99   1328898.47
1948    24     694774.04    567295.07   1262069.11
1948    25     652702.19    509148.57   1161850.76
1948    26     647579.50    495648.37   1143227.87
1948    27     650185.23    508605.32   1158790.55
1948    28     563124.85    460731.47   1023856.32
1948    29     544196.33    452047.49    996243.82
1948    30     558702.47    468561.33   1027263.80
1948    31     556930.36    475401.84   1032332.20
1948    32     548731.89    478023.46   1026755.35
1948    33     560252.13    493714.81   1053966.94
1948    34     537874.67    480680.99   1018555.66
1948    35     542011.71    478971.54   1020983.25
1948    36     523986.19    471006.19    994992.38
1948    37     500265.90    464786.89    965052.79
1948    38     500654.07    463688.26    964342.33
1948    39     476181.14    455724.14    931905.28
1948    40     473879.07    449339.32    923218.39
1948    41     372858.56    400384.53    773243.09
1948    42     427201.26    413512.80    840714.06
1948    43     389823.44    398988.12    788811.56
1948    44     409447.04    417195.52    826642.56
1948    45     414833.05    424057.58    838890.63
1948    46     394755.36    410297.67    805053.03
1948    47     375194.93    381271.38    756466.31
1948    48     346899.24    365572.25    712471.49
1948    49     350215.62    363271.46    713487.08
1948    50     336692.26    348776.50    685468.76
1948    51     316781.61    328607.85    645389.46
1948    52     313514.64    321435.98    634950.62
1948    53     297406.86    308424.20    605831.06
1948    54     278101.65    286600.67    564702.32
1948    55     289088.22    291664.39    580752.61
1948    56     249992.36    251111.20    501103.56
1948    57     269962.78    264263.19    534225.97
1948    58     280793.19    269239.86    550033.05
1948    59     256459.85    251808.81    508268.66
1948    60     235218.35    220386.95    455605.30
1948    61     233659.20    214582.61    448241.81
1948    62     221910.21    197743.16    419653.37
1948    63     216110.92    188710.63    404821.55
1948    64     217630.42    182274.18    399904.60
1948    65     209981.41    173978.84    383960.25
1948    66     199534.63    165658.29    365192.92
1948    67     187256.99    151691.34    338948.33
1948    68     180986.76    142676.27    323663.03
1948    69     172426.51    133679.05    306105.56
1948    70     163878.53    121621.03    285499.56
1948    71     155874.12    114758.63    270632.75
1948    72     132156.68     95536.92    227693.60
1948    73     121706.14     84683.58    206389.72
1948    74     112215.85     76364.55    188580.40
1948    75      91874.07     60618.09    152492.16
1948    76      73623.46     48649.23    122272.69
1948    77      64513.47     40289.80    104803.27
1948    78      59975.64     35318.13     95293.77
1948    79      59662.43     34153.85     93816.28
1948    80      42964.88     24057.39     67022.27
1948    81      35939.07     19554.20     55493.27
1948    82      33773.10     17111.68     50884.78
1948    83      25349.91     12849.50     38199.41
